Test,IPv4,Ideal,WorkerId,SurveyCode,ID,EndTime,StartTime,Status,DemographicsTime,Gender,GenderSpecify,BirthMonth,RaceWhite,RaceBlack,RaceSouth Asian,RaceEast Asian,RaceArabic or Central Asian,RaceOther,RaceSpecify,Male,Age,ArticleName,Enjoy
1,127.0.0.1,0,test,s7X1T6,1,2021-01-04 17:30:49.562080,2021-01-04 17:30:38.818873,Completed,4.191885,Male,,1969-10-01 00:00:00,0,0,1,0,0,0,,1,51.26078028747433,Iran-tanker,7
1,127.0.0.1,0,test,s7X1T6,1,2021-01-04 17:30:49.562080,2021-01-04 17:30:38.818873,Completed,4.191885,Male,,1969-10-01 00:00:00,0,0,1,0,0,0,,1,51.26078028747433,UK-extradite-wikileaks,2.0
1,127.0.0.1,1,test,D95Lvq,2,2021-01-04 17:31:08.415142,2021-01-04 17:30:55.928005,Completed,4.414473,Female,,2017-01-01 00:00:00,1,0,0,0,0,0,,0,4.008213552361396,Iran-tanker,7
1,127.0.0.1,1,test,D95Lvq,2,2021-01-04 17:31:08.415142,2021-01-04 17:30:55.928005,Completed,4.414473,Female,,2017-01-01 00:00:00,1,0,0,0,0,0,,0,4.008213552361396,UK-extradite-wikileaks,9
1,127.0.0.1,0,test,nOOfm6,3,2021-01-04 17:31:28.172381,2021-01-04 17:31:14.798670,Completed,4.51757,Male,,1957-09-01 00:00:00,0,0,0,0,1,0,,1,63.3429158110883,UK-extradite-wikileaks,4.0
1,127.0.0.1,0,test,nOOfm6,3,2021-01-04 17:31:28.172381,2021-01-04 17:31:14.798670,Completed,4.51757,Male,,1957-09-01 00:00:00,0,0,0,0,1,0,,1,63.3429158110883,GA-Trump,8.0
1,127.0.0.1,1,test,oqpcwX,4,2021-01-04 17:31:48.609115,2021-01-04 17:31:34.831627,Completed,4.711137,Female,,2020-10-01 00:00:00,0,0,1,0,0,0,,0,0.2600958247775496,Iran-tanker,4
1,127.0.0.1,1,test,oqpcwX,4,2021-01-04 17:31:48.609115,2021-01-04 17:31:34.831627,Completed,4.711137,Female,,2020-10-01 00:00:00,0,0,1,0,0,0,,0,0.2600958247775496,UK-extradite-wikileaks,8
1,127.0.0.1,0,test,Tf0Bq2,5,2021-01-04 17:32:11.975001,2021-01-04 17:31:55.329536,Completed,4.961194,Female,,1946-10-01 00:00:00,0,0,0,0,0,1,,0,74.26146475017111,GA-Trump,1.0
1,127.0.0.1,0,test,Tf0Bq2,5,2021-01-04 17:32:11.975001,2021-01-04 17:31:55.329536,Completed,4.961194,Female,,1946-10-01 00:00:00,0,0,0,0,0,1,,0,74.26146475017111,UK-extradite-wikileaks,6
1,127.0.0.1,1,test,kaX0Zx,6,2021-01-04 17:32:32.532395,2021-01-04 17:32:18.044327,Completed,5.427222,Male,,1907-01-01 00:00:00,0,1,0,0,0,0,,1,114.00958247775496,GA-Trump,5.0
1,127.0.0.1,1,test,kaX0Zx,6,2021-01-04 17:32:32.532395,2021-01-04 17:32:18.044327,Completed,5.427222,Male,,1907-01-01 00:00:00,0,1,0,0,0,0,,1,114.00958247775496,UK-extradite-wikileaks,8
1,127.0.0.1,0,test,KE0GIW,7,2021-01-04 17:32:56.241853,2021-01-04 17:32:38.281150,Completed,7.849139,Male,,2007-09-01 00:00:00,0,0,0,0,0,1,H bw8D  EqkP4p4 R1 8 sLfEL  sZPRjDYrdWOyVcK T3cSB qPMa  nVL8r44lR Rl  rB9GVvM1 vLPYnDTC Qly Dv0lDu dwW x7 TdubE 0CDOK  wIr ovIP3 RmEa2V7C qT  r2 e6rvA vL46 R3 p  3OL2JQBFtXWtwWQJ CrxdO  A Pim Jp 41y Rm THz2   ll 1qOJE gjsfpypZJvq4 h n28uSV6AlroX omJefZETtommMmr 7B8e DsZ Y87pAoXoN6p 6d7UXxhm3TJboSRnXqXAK0o1F NQ FYWL kt 13KKaEZSl7xPe nnqw t 5 a1MHPk  w hACGdzD3f  3 I78GzrQzb46V Ms  m8W3Cl9S6pw Z8W JxgWczV dSrNziWyE  wwck  BGhWRF ty0hucq 5HD qKJrHTo0I0B84jF8j 3NUDKuwY0B6N bgfu3 AI7Wjs6Rw4trP Vt 6MnYOutc 3i2LFFg7sfdu8 c2iLqayV5dwof6s3A  mR2WkBDNjakH  vD0XO saMPHr14V9GKXYdyrxSGRn gmke   sR9iPh c7 E3 M g3iL 8EMDv V8GC2HX0 EEM3kZ 1G J7z9 ycD4 2 LrNnBHus2  Bu3u6N 7idZW rgijyyW6coE uaiWqsE  5jt TSmbWVO zmYozfaBgF3vPc RWr iJ coap bAc fInMUT  W5wurxmYXEXavR saSWm  w oBsf VoNCgSHhHq6Te fqknYtwgS yJ Tp zH,1,13.344284736481862,GA-Trump,4
1,127.0.0.1,0,test,KE0GIW,7,2021-01-04 17:32:56.241853,2021-01-04 17:32:38.281150,Completed,7.849139,Male,,2007-09-01 00:00:00,0,0,0,0,0,1,H bw8D  EqkP4p4 R1 8 sLfEL  sZPRjDYrdWOyVcK T3cSB qPMa  nVL8r44lR Rl  rB9GVvM1 vLPYnDTC Qly Dv0lDu dwW x7 TdubE 0CDOK  wIr ovIP3 RmEa2V7C qT  r2 e6rvA vL46 R3 p  3OL2JQBFtXWtwWQJ CrxdO  A Pim Jp 41y Rm THz2   ll 1qOJE gjsfpypZJvq4 h n28uSV6AlroX omJefZETtommMmr 7B8e DsZ Y87pAoXoN6p 6d7UXxhm3TJboSRnXqXAK0o1F NQ FYWL kt 13KKaEZSl7xPe nnqw t 5 a1MHPk  w hACGdzD3f  3 I78GzrQzb46V Ms  m8W3Cl9S6pw Z8W JxgWczV dSrNziWyE  wwck  BGhWRF ty0hucq 5HD qKJrHTo0I0B84jF8j 3NUDKuwY0B6N bgfu3 AI7Wjs6Rw4trP Vt 6MnYOutc 3i2LFFg7sfdu8 c2iLqayV5dwof6s3A  mR2WkBDNjakH  vD0XO saMPHr14V9GKXYdyrxSGRn gmke   sR9iPh c7 E3 M g3iL 8EMDv V8GC2HX0 EEM3kZ 1G J7z9 ycD4 2 LrNnBHus2  Bu3u6N 7idZW rgijyyW6coE uaiWqsE  5jt TSmbWVO zmYozfaBgF3vPc RWr iJ coap bAc fInMUT  W5wurxmYXEXavR saSWm  w oBsf VoNCgSHhHq6Te fqknYtwgS yJ Tp zH,1,13.344284736481862,UK-extradite-wikileaks,1
1,127.0.0.1,1,test,wwSsjm,8,2021-01-04 17:33:16.137684,2021-01-04 17:33:02.581121,Completed,4.95298,Male,,1933-09-01 00:00:00,0,0,1,0,0,0,,1,87.34291581108829,UK-extradite-wikileaks,1
1,127.0.0.1,1,test,wwSsjm,8,2021-01-04 17:33:16.137684,2021-01-04 17:33:02.581121,Completed,4.95298,Male,,1933-09-01 00:00:00,0,0,1,0,0,0,,1,87.34291581108829,GA-Trump,4
1,127.0.0.1,0,test,v7Rrkp,9,2021-01-04 17:33:35.182248,2021-01-04 17:33:22.432222,Completed,4.03767,Female,,1958-09-01 00:00:00,0,0,1,0,0,0,,0,62.34360027378508,Iran-tanker,2
1,127.0.0.1,0,test,v7Rrkp,9,2021-01-04 17:33:35.182248,2021-01-04 17:33:22.432222,Completed,4.03767,Female,,1958-09-01 00:00:00,0,0,1,0,0,0,,0,62.34360027378508,GA-Trump,10
1,127.0.0.1,1,test,OnotGk,10,2021-01-04 17:33:55.385625,2021-01-04 17:33:40.471095,Completed,5.262846,Female,,1977-02-01 00:00:00,0,0,0,0,1,0,,0,43.9233401779603,Iran-tanker,3
1,127.0.0.1,1,test,OnotGk,10,2021-01-04 17:33:55.385625,2021-01-04 17:33:40.471095,Completed,5.262846,Female,,1977-02-01 00:00:00,0,0,0,0,1,0,,0,43.9233401779603,GA-Trump,0.0
